name,org_nr,address,post_code,post_area,rating,price_level,user_ratings_total,agg_grade,mean_inspection_type,total_inspections,website,reservable,dine_in,mean_grade,count_grade_0,count_grade1,count_grade2,count_grade3,latlng
 Alibaba Restaurant Stovner,919128372,Stovner senter 3,0985,OSLO,3.8,,33.0,2,0.5,2,1,,,1.0,1,0,1,0,"[59.962146, 10.924524]"
 DALAT CAFE VIET AS,923602658,Torggata 27,0183,OSLO,4.4,1,450.0,2,0.0,2,1,,,1.0,0,2,0,0,"[59.916912, 10.753309]"
8 fish sushi,922566836,Haslevangen 18,0579,OSLO,4.8,,67.0,1,0.0,2,1,,,0.5,1,1,0,0,"[59.9266866, 10.7924661]"
@On Padthai Takeaway Chaichit,927731371,Herslebsgate 4A,0561,OSLO,4.3,,22.0,5,0.6666666666666666,3,1,,,1.6666666666666667,1,0,1,1,"[59.919493971355024, 10.762425116618374]"
ADAL BAR & RESTAURANT AS,913975138,STORGATA 41,0182,OSLO,4.2,,31.0,12,0.625,8,1,,,1.5,3,0,3,2,"[59.915211, 10.754918]"
AKKA Arabisk Espresso Kafe,983571840,HEGDEHAUGSVEIEN 36,0352,OSLO,3.8,,130.0,11,0.4,10,1,,,1.1,3,3,4,0,"[59.923379, 10.725564]"
ARTS,923157905,Filipstad brygge 2,0252,OSLO,4.7,,58.0,0,0.0,1,1,,,0.0,1,0,0,0,"[59.909915, 10.722698]"
ASIA,940965098,GRUNDINGEN 2,0250,OSLO,4.1,2,1428.0,2,0.0,6,1,,,0.3333333333333333,4,2,0,0,"[59.910351, 10.727818]"
Abelone kjøkken og bar,928932222,Brugata 11,0186,OSLO,4.6,,27.0,2,0.5,2,1,,,1.0,1,0,1,0,"[59.913825, 10.756473]"
Adriatic Cafe ,912212599,HELGESENS GATE 44,0553,OSLO,4.6,1,615.0,11,0.5,10,1,,,1.1,4,1,5,0,"[59.923706, 10.764844]"
Aften 1 Pizza AS,822275532,Storgata 39,0182,OSLO,4.1,1,258.0,2,0.0,2,1,,,1.0,0,2,0,0,"[59.915124, 10.754681]"
Agave Mexican Food avd Lambertseter,920901174,Cecilie Thoresens vei 17,0115,OSLO,4.2,2,119.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.874914, 10.810462]"
Al Dente Bryn,997889614,ØSTENSJØVEIEN 79,0667,OSLO,3.4,,23.0,7,0.3333333333333333,9,1,,,0.7777777777777778,5,1,3,0,"[59.903192, 10.822458]"
Albertine Spiseri ,981086015,HALLINGS GATE 3,0170,OSLO,4.5,,220.0,1,0.0,2,1,,,0.5,1,1,0,0,"[59.922516, 10.739095]"
Aleppo Bahebek - Vippa,922244251,AKERSHUSSTRANDA 25   Skur 40,0150,OSLO,4.2,,59.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.90181444208221, 10.741166263232543]"
Alex Sushi AS,984044275,CORT ADELERS GATE 2,0254,OSLO,4.7,4,918.0,8,0.3333333333333333,9,1,,,0.8888888888888888,4,2,3,0,"[59.914655, 10.720815]"
Ali Babas Pizza&Grill,921717164,Helga Vaneks vei 13,1281,OSLO,4.4,2,406.0,2,0.0,1,1,,,2.0,0,0,1,0,"[59.8485618, 10.832053]"
Alibaba Restaurant,890986722,Trondheimsveien 6,0560,OSLO,4.4,2,406.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.919364, 10.763032]"
Amazonia by Bar,995322080,Bryggegangen 6,0252,OSLO,3.5,,59.0,8,0.3333333333333333,9,1,,,0.8888888888888888,4,2,3,0,"[59.9086675, 10.721936]"
Anatolia Tyrkisk Restaurant ,915497985,ØKERNVEIEN 9,0653,OSLO,4.3,2,487.0,7,0.25,8,1,,,0.875,3,3,2,0,"[59.914864, 10.776167]"
Anne på Landet,913929810,LJANSBRUKVEIEN 6,1250,OSLO,4.4,,439.0,6,0.1666666666666666,6,1,,,1.0,1,4,1,0,"[59.83288, 10.772798]"
