,tilsynsobjektid,orgnummer,navn,adrlinje1,adrlinje2,postnr,poststed,tilsynid,sakref,status,dato,total_karakter,tilsynsbesoektype,tema1_no,tema1_nn,karakter1,tema2_no,tema2_nn,karakter2,tema3_no,tema3_nn,karakter3,tema4_no,tema4_nn,karakter4,business_status,dine_in,name,price_level,rating,types,user_ratings_total,reservable,website,editorial_summary
0,Z1006052059576191189LLAJS_Tilsynsobjekt,876576422.0,Malik's Kvarten Bistro AS,KRISTIAN IV`S GATE 1,,164.0,OSLO,Z1601151233010030239YFSGZ_TilsynAvtale,2016/5367,0,15012016,0,1,Rutiner og ledelse,Rutiner og leiing,1.0,Lokaler og utstyr,Lokaler og utstyr,1.0,Mat-håndtering og tilberedning,Mat-handtering og tillaging,1.0,Merking og sporbarhet,Merking og sporbarheit,0.0,OPERATIONAL,True,Malik's Kvarten Bistro,1.0,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",186.0,,,
1,Z1006052059576191189LLAJS_Tilsynsobjekt,876576422.0,Malik's Kvarten Bistro AS,KRISTIAN IV`S GATE 1,,164.0,OSLO,Z1707051537310410240DQUTJ_TilsynAvtale,2017/128233,0,5072017,2,1,Rutiner og ledelse,Rutiner og leiing,2.0,Lokaler og utstyr,Lokaler og utstyr,2.0,Mat-håndtering og tilberedning,Mat-handtering og tillaging,2.0,Merking og sporbarhet,Merking og sporbarheit,1.0,OPERATIONAL,True,Malik's Kvarten Bistro,1.0,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",186.0,,,
2,Z1006052059576191189LLAJS_Tilsynsobjekt,876576422.0,Malik's Kvarten Bistro AS,KRISTIAN IV`S GATE 1,,164.0,OSLO,Z1610051538078600239KLAPD_TilsynAvtale,2016/193757,0,5102016,0,1,Rutiner og ledelse,Rutiner og leiing,0.0,Lokaler og utstyr,Lokaler og utstyr,1.0,Mat-håndtering og tilberedning,Mat-handtering og tillaging,1.0,Merking og sporbarhet,Merking og sporbarheit,1.0,OPERATIONAL,True,Malik's Kvarten Bistro,1.0,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",186.0,,,
3,Z1006052059576191189LLAJS_Tilsynsobjekt,876576422.0,Malik's Kvarten Bistro AS,KRISTIAN IV`S GATE 1,,164.0,OSLO,Z2204071326386400240GDYVK_TilsynAvtale,2022/77047,0,7042022,2,0,Rutiner og ledelse,Rutiner og leiing,2.0,Lokaler og utstyr,Lokaler og utstyr,2.0,Mat-håndtering og tilberedning,Mat-handtering og tillaging,0.0,Merking og sporbarhet,Merking og sporbarheit,0.0,OPERATIONAL,True,Malik's Kvarten Bistro,1.0,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",186.0,,,
4,Z1006052059576191189LLAJS_Tilsynsobjekt,876576422.0,Malik's Kvarten Bistro AS,KRISTIAN IV`S GATE 1,,164.0,OSLO,Z1810291511497620240ZZQKW_TilsynAvtale,2018/239281,0,29102018,2,1,Rutiner og ledelse,Rutiner og leiing,2.0,Lokaler og utstyr,Lokaler og utstyr,2.0,Mat-håndtering og tilberedning,Mat-handtering og tillaging,2.0,Merking og sporbarhet,Merking og sporbarheit,2.0,OPERATIONAL,True,Malik's Kvarten Bistro,1.0,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",186.0,,,
5,Z1006052059576191189LLAJS_Tilsynsobjekt,876576422.0,Malik's Kvarten Bistro AS,KRISTIAN IV`S GATE 1,,164.0,OSLO,Z1601111336418200239MWCWP_TilsynAvtale,2016/5367,0,11012016,2,0,Rutiner og ledelse,Rutiner og leiing,1.0,Lokaler og utstyr,Lokaler og utstyr,1.0,Mat-håndtering og tilberedning,Mat-handtering og tillaging,1.0,Merking og sporbarhet,Merking og sporbarheit,2.0,OPERATIONAL,True,Malik's Kvarten Bistro,1.0,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",186.0,,,
6,Z1006052059576191189LLAJS_Tilsynsobjekt,876576422.0,Malik's Kvarten Bistro AS,KRISTIAN IV`S GATE 1,,164.0,OSLO,Z2204201518307440240ONWCW_TilsynAvtale,2022/77047,0,20042022,0,1,Rutiner og ledelse,Rutiner og leiing,0.0,Lokaler og utstyr,Lokaler og utstyr,0.0,Mat-håndtering og tilberedning,Mat-handtering og tillaging,0.0,Merking og sporbarhet,Merking og sporbarheit,0.0,OPERATIONAL,True,Malik's Kvarten Bistro,1.0,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",186.0,,,
7,Z1006052059576191189LLAJS_Tilsynsobjekt,876576422.0,Malik's Kvarten Bistro AS,KRISTIAN IV`S GATE 1,,164.0,OSLO,Z1609201455597580239SNMZS_TilsynAvtale,2016/193757,0,20092016,2,0,Rutiner og ledelse,Rutiner og leiing,2.0,Lokaler og utstyr,Lokaler og utstyr,2.0,Mat-håndtering og tilberedning,Mat-handtering og tillaging,2.0,Merking og sporbarhet,Merking og sporbarheit,1.0,OPERATIONAL,True,Malik's Kvarten Bistro,1.0,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",186.0,,,
8,Z1006052059576191189LLAJS_Tilsynsobjekt,876576422.0,Malik's Kvarten Bistro AS,KRISTIAN IV`S GATE 1,,164.0,OSLO,Z1810251625290070240VVKVD_TilsynAvtale,2018/239281,0,25102018,3,0,Rutiner og ledelse,Rutiner og leiing,3.0,Lokaler og utstyr,Lokaler og utstyr,3.0,Mat-håndtering og tilberedning,Mat-handtering og tillaging,3.0,Merking og sporbarhet,Merking og sporbarheit,2.0,OPERATIONAL,True,Malik's Kvarten Bistro,1.0,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",186.0,,,
9,Z1006052059576191189LLAJS_Tilsynsobjekt,876576422.0,Malik's Kvarten Bistro AS,KRISTIAN IV`S GATE 1,,164.0,OSLO,Z1811220847475360240TZDPU_TilsynAvtale,2018/239281,0,22112018,0,1,Rutiner og ledelse,Rutiner og leiing,0.0,Lokaler og utstyr,Lokaler og utstyr,0.0,Mat-håndtering og tilberedning,Mat-handtering og tillaging,0.0,Merking og sporbarhet,Merking og sporbarheit,0.0,OPERATIONAL,True,Malik's Kvarten Bistro,1.0,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",186.0,,,
