,name,org_nr,address,post_code,post_area,rating,price_level,user_ratings_total,agg_grade,mean_inspection_type,total_inspections,website,reservable,dine_in,worst_grade,mean_grade,count_grade_0,count_grade_1,count_grade_2,count_grade_3,has_summary,weighted_score,priority
0, Alibaba Restaurant Stovner,919128372,Stovner senter 3,0985,OSLO,3.8,2.0,33.0,2,0.5,2,0,1,1,2,1.0,1,0,1,0,0,4.0,2
1, DALAT CAFE VIET AS,923602658,Torggata 27,0183,OSLO,4.4,1.0,450.0,2,0.0,2,1,0,1,1,1.0,0,2,0,0,0,1.0,0
2,8 fish sushi,922566836,Haslevangen 18,0579,OSLO,4.8,2.0,67.0,1,0.0,2,1,0,1,1,0.5,1,1,0,0,0,1.0,0
3,@On Padthai Takeaway Chaichit,927731371,Herslebsgate 4A,0561,OSLO,4.3,2.0,22.0,5,0.6666666666666666,3,0,0,1,3,1.6666666666666667,1,0,1,1,0,6.5,2
4,ADAL BAR & RESTAURANT AS,913975138,STORGATA 41,0182,OSLO,4.2,2.0,31.0,12,0.625,8,1,1,1,3,1.5,3,0,3,2,0,6.0,2
5,AKKA Arabisk Espresso Kafe,983571840,HEGDEHAUGSVEIEN 36,0352,OSLO,3.8,2.0,130.0,11,0.4,10,0,0,1,2,1.1,3,3,4,0,0,2.7142857142857144,1
6,ARTS,923157905,Filipstad brygge 2,0252,OSLO,4.7,2.0,58.0,0,0.0,1,1,1,1,0,0.0,1,0,0,0,0,0.0,0
7,ASIA,940965098,GRUNDINGEN 2,0250,OSLO,4.1,2.0,1428.0,2,0.0,6,1,1,1,1,0.3333333333333333,4,2,0,0,1,1.0,0
8,Abelone kjøkken og bar,928932222,Brugata 11,0186,OSLO,4.6,2.0,27.0,2,0.5,2,1,1,1,2,1.0,1,0,1,0,0,4.0,2
9,Adriatic Cafe ,912212599,HELGESENS GATE 44,0553,OSLO,4.6,1.0,615.0,11,0.5,10,1,1,1,2,1.1,4,1,5,0,0,3.5,2
10,Aften 1 Pizza AS,822275532,Storgata 39,0182,OSLO,4.1,1.0,258.0,2,0.0,2,0,0,1,1,1.0,0,2,0,0,0,1.0,0
11,Agave Mexican Food avd Lambertseter,920901174,Cecilie Thoresens vei 17,0115,OSLO,4.2,2.0,119.0,1,0.0,1,1,1,1,1,1.0,0,1,0,0,0,1.0,0
12,Al Dente Bryn,997889614,ØSTENSJØVEIEN 79,0667,OSLO,3.4,2.0,23.0,7,0.3333333333333333,9,1,0,1,2,0.7777777777777778,5,1,3,0,0,3.25,2
13,Albertine Spiseri ,981086015,HALLINGS GATE 3,0170,OSLO,4.5,2.0,220.0,1,0.0,2,1,1,1,1,0.5,1,1,0,0,0,1.0,0
14,Aleppo Bahebek - Vippa,922244251,AKERSHUSSTRANDA 25   Skur 40,0150,OSLO,4.2,2.0,59.0,1,0.0,1,1,0,1,1,1.0,0,1,0,0,0,1.0,0
15,Alex Sushi AS,984044275,CORT ADELERS GATE 2,0254,OSLO,4.7,4.0,918.0,8,0.3333333333333333,9,1,1,1,2,0.8888888888888888,4,2,3,0,1,2.8,1
16,Ali Babas Pizza&Grill,921717164,Helga Vaneks vei 13,1281,OSLO,4.4,2.0,406.0,2,0.0,1,1,1,1,2,2.0,0,0,1,0,0,4.0,2
17,Alibaba Restaurant,890986722,Trondheimsveien 6,0560,OSLO,4.4,2.0,406.0,1,0.0,1,1,1,1,1,1.0,0,1,0,0,0,1.0,0
18,Amazonia by Bar,995322080,Bryggegangen 6,0252,OSLO,3.5,2.0,59.0,8,0.3333333333333333,9,1,1,1,2,0.8888888888888888,4,2,3,0,0,2.8,1
19,Anatolia Tyrkisk Restaurant ,915497985,ØKERNVEIEN 9,0653,OSLO,4.3,2.0,487.0,7,0.25,8,1,1,1,2,0.875,3,3,2,0,0,2.2,1
20,Anne på Landet,913929810,LJANSBRUKVEIEN 6,1250,OSLO,4.4,2.0,439.0,6,0.1666666666666666,6,1,0,1,2,1.0,1,4,1,0,0,1.6,1
21,Anne på landet - Frognerparken,913929810,Frognerveien 67,0266,OSLO,4.3,2.0,298.0,3,0.0,3,1,0,1,1,1.0,0,3,0,0,0,1.0,0
22,Ansjosen ,927674998,Ullevålsveien 81,0454,OSLO,4.9,2.0,34.0,0,0.0,1,1,1,1,0,0.0,1,0,0,0,0,0.0,0
23,Aperitivo,919896485,Hegdehaugsveien 22,0167,OSLO,4.7,2.0,115.0,4,0.25,4,1,1,1,2,1.0,1,2,1,0,0,2.0,1
24,Apostrophe,925079529,Kirkegårdsgata 7A,0558,OSLO,4.5,2.0,184.0,1,0.0,1,1,1,1,1,1.0,0,1,0,0,0,1.0,0
25,Apsorn Thai Restaurant,917686149,Vogts gate 64,0477,OSLO,4.2,2.0,227.0,8,0.5714285714285714,7,1,1,1,2,1.1428571428571428,3,0,4,0,1,4.0,2
26,Aquariet,819055742,Rådhusgata 27,0158,OSLO,4.9,2.0,44.0,2,0.0,1,1,1,1,2,2.0,0,0,1,0,0,4.0,2
27,Arakataka,981688007,Mariboes gate 7B,0183,OSLO,4.6,3.0,694.0,6,0.25,8,1,1,1,2,0.75,4,2,2,0,1,2.5,1
28,Arno Ristorante,914542162,FREDENSBORGVEIEN 30 B,0177,OSLO,4.4,2.0,180.0,2,0.0,5,1,1,1,1,0.4,3,2,0,0,0,1.0,0
29,Arte Pazza,887486212,ULLEVÅLSVEIEN 61,0171,OSLO,4.4,2.0,310.0,15,0.5833333333333334,12,1,1,1,3,1.25,5,0,6,1,0,4.714285714285714,2
30,Asia Kebab og pizzahus,996480550,Grønlandsleiret 10,0190,OSLO,4.0,1.0,212.0,20,0.5625,16,1,0,1,3,1.25,6,1,8,1,0,4.2,2
